Dep,Dest,Evenodd,Restriction,Route
OMDB,EDDH,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT PATAK DCT LALES DCT HDO M748 RARUP
OMDB,EDDH,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L621 REVDA P193 KARIL DCT KEKED DCT KELEL P193 VAGON T205 GOVEN DCT VIBIS L619 BUMIL M748 RARUP
OMDB,EDDM,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ARSIN DCT SITNI DCT BAGSI DCT MATIG DCT AMADI Q113 NAPSA
OMDB,EDDM,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UL602 MAKOL L602 NERDI M747 NEKUL P975 MOPUG DCT SUNIS DCT VATET DCT REDBU Q112 NAPSA
OMDB,EDDP,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT DEMOP DCT MAKAL DCT BEFRE T204 TEXTI T951 YAWOY
OMDB,EFHK,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT BIRSI Q141 INTOR
OMDB,EGBB,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 HEMEL T420 BUZAD
OMDB,EGCC,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 LAM UN57 WELIN T420 TNT
OMDB,EGCC,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 NEPOT L851 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 LAM UN57 WELIN T420 TNT
OMDB,EGKK,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 TEBRA
